Date,tn,tx,td,rh,ff,sr,tn_QC,tx_QC,td_QC,rh_QC,ff_QC,sr_QC
2016-06-06,22.78,22.78,,,,0.0,1,1,0,0,0,1
2016-06-07,,,,,,0.0,0,0,0,0,0,1
2016-06-08,31.67,31.67,,,,0.0,1,1,0,0,0,1
2016-06-09,32.78,32.78,,,,0.0,1,1,0,0,0,1
2016-06-10,,,,,,0.0,0,0,0,0,0,1
2016-06-11,,,,,,0.0,0,0,0,0,0,1
2016-06-12,,,,,,0.0,0,0,0,0,0,1
2016-06-13,25.0,25.0,,,,0.0,1,1,0,0,0,1
2016-06-14,25.0,25.0,,,,0.0,1,1,0,0,0,1
2016-06-15,21.11,21.11,,,,0.0,1,1,0,0,0,1
2016-06-16,28.33,28.33,,,,0.0,1,1,0,0,0,1
2016-06-17,25.0,25.0,,,,0.0,1,1,0,0,0,1
2016-06-18,,,,,,0.0,0,0,0,0,0,1
2016-06-19,,,,,,0.0,0,0,0,0,0,1
2016-06-20,26.67,26.67,,,,0.0,1,1,0,0,0,1
2016-06-21,30.0,30.0,,,,0.0,1,1,0,0,0,1
2016-06-22,,,,,,0.0,0,0,0,0,0,1
2016-06-23,28.89,28.89,,,,0.0,1,1,0,0,0,1
2016-06-24,29.44,29.44,,,,0.0,1,1,0,0,0,1
2016-06-25,,,,,,0.0,0,0,0,0,0,1
2016-06-26,,,,,,0.0,0,0,0,0,0,1
2016-06-27,24.44,24.44,,,,0.0,1,1,0,0,0,1
2016-06-28,27.78,27.78,,,,0.0,1,1,0,0,0,1
2016-06-29,27.22,27.22,,,,0.0,1,1,0,0,0,1
2016-06-30,24.44,24.44,,,,0.0,1,1,0,0,0,1
2016-07-01,,,,,,0.0,0,0,0,0,0,1
2016-07-02,,,,,,0.0,0,0,0,0,0,1
2016-07-03,,,,,,0.0,0,0,0,0,0,1
2016-07-04,,,,,,0.0,0,0,0,0,0,1
2016-07-05,24.44,24.44,,,,0.0,1,1,0,0,0,1
2016-07-06,15.56,15.56,,,,0.0,1,1,0,0,0,1
2016-07-07,21.67,21.67,,,,0.0,1,1,0,0,0,1
2016-07-08,28.33,28.33,,,,0.0,1,1,0,0,0,1
2016-07-09,,,,,,0.0,0,0,0,0,0,1
2016-07-10,,,,,,0.0,0,0,0,0,0,1
2016-07-11,16.11,16.11,,,,0.0,1,1,0,0,0,1
2016-07-12,22.78,22.78,,,,0.0,1,1,0,0,0,1
2016-07-13,22.78,22.78,,,,0.0,1,1,0,0,0,1
2016-07-14,18.89,18.89,,,,0.0,1,1,0,0,0,1
2016-07-15,23.89,23.89,,,,0.0,1,1,0,0,0,1
2016-07-16,,,,,,0.0,0,0,0,0,0,1
2016-07-17,,,,,,0.0,0,0,0,0,0,1
2016-07-18,30.56,30.56,,,,0.0,1,1,0,0,0,1
2016-07-19,35.56,35.56,,,,0.0,1,1,0,0,0,1
2016-07-20,34.44,34.44,,,,0.0,1,1,0,0,0,1
2016-07-21,33.33,33.33,,,,0.0,1,1,0,0,0,1
2016-07-22,,,,,,0.0,0,0,0,0,0,1
2016-07-23,,,,,,0.0,0,0,0,0,0,1
2016-07-24,,,,,,0.0,0,0,0,0,0,1
2016-07-25,31.67,31.67,,,,0.0,1,1,0,0,0,1
2016-07-26,25.56,25.56,,,,0.0,1,1,0,0,0,1
2016-07-27,20.0,20.0,,,,0.0,1,1,0,0,0,1
2016-07-28,23.89,23.89,,,,0.0,1,1,0,0,0,1
2016-07-29,24.44,24.44,,,,0.0,1,1,0,0,0,1
2016-07-30,,,,,,0.0,0,0,0,0,0,1
2016-07-31,,,,,,0.0,0,0,0,0,0,1
2016-08-01,27.78,27.78,,,,0.0,1,1,0,0,0,1
2016-08-02,31.11,31.11,,,,0.0,1,1,0,0,0,1
2016-08-03,28.89,28.89,,,,0.0,1,1,0,0,0,1
2016-08-04,25.0,25.0,,,,0.0,1,1,0,0,0,1
2016-08-05,28.89,28.89,,,,0.0,1,1,0,0,0,1
2016-08-06,,,,,,0.0,0,0,0,0,0,1
2016-08-07,,,,,,0.0,0,0,0,0,0,1
2016-08-08,,,,,,0.0,0,0,0,0,0,1
2016-08-09,22.78,22.78,,,,0.0,1,1,0,0,0,1
2016-08-10,23.89,23.89,,,,0.0,1,1,0,0,0,1
2016-08-11,27.78,27.78,,,,0.0,1,1,0,0,0,1
2016-08-12,,,,,,0.0,0,0,0,0,0,1
2016-08-13,,,,,,0.0,0,0,0,0,0,1
2016-08-14,,,,,,0.0,0,0,0,0,0,1
2016-08-15,,,,,,0.0,0,0,0,0,0,1
2016-08-16,,,,,,0.0,0,0,0,0,0,1
2016-08-17,,,,,,0.0,0,0,0,0,0,1
2016-08-18,,,,,,0.0,0,0,0,0,0,1
2016-08-19,,,,,,0.0,0,0,0,0,0,1
2016-08-20,,,,,,0.0,0,0,0,0,0,1
2016-08-21,,,,,,0.0,0,0,0,0,0,1
2016-08-22,,,,,,0.0,0,0,0,0,0,1
2016-08-23,,,,,,0.0,0,0,0,0,0,1
2016-08-24,,,,,,0.0,0,0,0,0,0,1
2016-08-25,,,,,,0.0,0,0,0,0,0,1
2016-08-26,,,,,,0.0,0,0,0,0,0,1
2016-08-27,,,,,,0.0,0,0,0,0,0,1
2016-08-28,,,,,,0.0,0,0,0,0,0,1
2016-08-29,,,,,,0.0,0,0,0,0,0,1
2016-08-30,,,,,,0.0,0,0,0,0,0,1
2016-08-31,,,,,,0.0,0,0,0,0,0,1
2016-09-01,,,,,,0.0,0,0,0,0,0,1
2016-09-02,32.22,32.22,,,,0.0,1,1,0,0,0,1
