Date,tn,tx,td,rh,ff,sr,tn_QC,tx_QC,td_QC,rh_QC,ff_QC,sr_QC
2016-06-01,6.67,6.67,,,,0.0,1,1,0,0,0,1
2016-06-02,12.78,12.78,,,,0.0,1,1,0,0,0,1
2016-06-03,,,,,,0.0,0,0,0,0,0,1
2016-06-04,,,,,,0.0,0,0,0,0,0,1
2016-06-05,,,,,,0.0,0,0,0,0,0,1
2016-06-06,13.89,13.89,,,,0.0,1,1,0,0,0,1
2016-06-07,12.22,12.22,,,,0.0,1,1,0,0,0,1
2016-06-08,13.89,13.89,,,,0.0,1,1,0,0,0,1
2016-06-09,16.67,16.67,,,,0.0,1,1,0,0,0,1
2016-06-10,,,,,,0.0,0,0,0,0,0,1
2016-06-11,,,,,,0.0,0,0,0,0,0,1
2016-06-12,,,,,,0.0,0,0,0,0,0,1
2016-06-13,,,,,,0.0,0,0,0,0,0,1
2016-06-14,,,,,,0.0,0,0,0,0,0,1
2016-06-15,,,,,,0.0,0,0,0,0,0,1
2016-06-16,11.67,11.67,,,,0.0,1,1,0,0,0,1
2016-06-17,9.44,9.44,,,,0.0,1,1,0,0,0,1
2016-06-18,13.33,13.33,,,,0.0,1,1,0,0,0,1
2016-06-19,13.89,13.89,,,,0.0,1,1,0,0,0,1
2016-06-20,8.33,8.33,,,,0.0,1,1,0,0,0,1
2016-06-21,15.56,15.56,,,,0.0,1,1,0,0,0,1
2016-06-22,12.78,12.78,,,,0.0,1,1,0,0,0,1
2016-06-23,,,,,,0.0,0,0,0,0,0,1
2016-06-24,18.33,18.33,,,,0.0,1,1,0,0,0,1
2016-06-25,11.11,11.11,,,,0.0,1,1,0,0,0,1
2016-06-26,13.33,13.33,,,,0.0,1,1,0,0,0,1
2016-06-27,10.56,10.56,,,,0.0,1,1,0,0,0,1
2016-06-28,,,,,,0.0,0,0,0,0,0,1
2016-06-29,,,,,,0.0,0,0,0,0,0,1
2016-06-30,,,,,,0.0,0,0,0,0,0,1
2016-07-01,,,,,,0.0,0,0,0,0,0,1
2016-07-02,,,,,,0.0,0,0,0,0,0,1
2016-07-03,,,,,,0.0,0,0,0,0,0,1
2016-07-04,15.56,15.56,,,,0.0,1,1,0,0,0,1
2016-07-05,11.67,11.67,,,,0.0,1,1,0,0,0,1
2016-07-06,11.11,11.11,,,,0.0,1,1,0,0,0,1
2016-07-07,11.67,11.67,,,,0.0,1,1,0,0,0,1
2016-07-08,,,,,,0.0,0,0,0,0,0,1
2016-07-09,16.11,16.11,,,,0.0,1,1,0,0,0,1
2016-07-10,16.11,16.11,,,,0.0,1,1,0,0,0,1
2016-07-11,12.22,12.22,,,,0.0,1,1,0,0,0,1
2016-07-12,13.89,13.89,,,,0.0,1,1,0,0,0,1
2016-07-13,,,,,,0.0,0,0,0,0,0,1
2016-07-14,12.78,12.78,,,,0.0,1,1,0,0,0,1
2016-07-15,13.33,13.33,,,,0.0,1,1,0,0,0,1
2016-07-16,13.33,13.33,,,,0.0,1,1,0,0,0,1
2016-07-17,12.78,12.78,,,,0.0,1,1,0,0,0,1
2016-07-18,16.67,16.67,,,,0.0,1,1,0,0,0,1
2016-07-19,17.78,17.78,,,,0.0,1,1,0,0,0,1
2016-07-20,15.0,15.0,,,,0.0,1,1,0,0,0,1
2016-07-21,,,,,,0.0,0,0,0,0,0,1
2016-07-22,15.56,15.56,,,,0.0,1,1,0,0,0,1
2016-07-23,15.56,15.56,,,,0.0,1,1,0,0,0,1
2016-07-24,12.22,12.22,,,,0.0,1,1,0,0,0,1
2016-07-25,,,,,,0.0,0,0,0,0,0,1
2016-07-26,17.78,17.78,,,,0.0,1,1,0,0,0,1
2016-07-27,16.11,16.11,,,,0.0,1,1,0,0,0,1
2016-07-28,12.22,12.22,,,,0.0,1,1,0,0,0,1
2016-07-29,12.78,12.78,,,,0.0,1,1,0,0,0,1
2016-07-30,13.33,13.33,,,,0.0,1,1,0,0,0,1
2016-07-31,16.67,16.67,,,,0.0,1,1,0,0,0,1
2016-08-01,11.11,11.11,,,,0.0,1,1,0,0,0,1
2016-08-02,10.0,10.0,,,,0.0,1,1,0,0,0,1
2016-08-03,15.56,15.56,,,,0.0,1,1,0,0,0,1
2016-08-04,12.22,12.22,,,,0.0,1,1,0,0,0,1
2016-08-05,,,,,,0.0,0,0,0,0,0,1
2016-08-06,16.11,16.11,,,,0.0,1,1,0,0,0,1
2016-08-07,17.22,17.22,,,,0.0,1,1,0,0,0,1
2016-08-08,17.22,17.22,,,,0.0,1,1,0,0,0,1
2016-08-09,12.22,12.22,,,,0.0,1,1,0,0,0,1
2016-08-10,15.56,15.56,,,,0.0,1,1,0,0,0,1
2016-08-11,14.44,14.44,,,,0.0,1,1,0,0,0,1
2016-08-12,12.22,12.22,,,,0.0,1,1,0,0,0,1
2016-08-13,9.44,9.44,,,,0.0,1,1,0,0,0,1
2016-08-14,11.67,11.67,,,,0.0,1,1,0,0,0,1
2016-08-15,17.22,17.22,,,,0.0,1,1,0,0,0,1
2016-08-16,13.89,13.89,,,,0.0,1,1,0,0,0,1
2016-08-17,13.33,13.33,,,,0.0,1,1,0,0,0,1
2016-08-18,,,,,,0.0,0,0,0,0,0,1
2016-08-19,9.44,9.44,,,,0.0,1,1,0,0,0,1
2016-08-20,,,,,,0.0,0,0,0,0,0,1
2016-08-21,,,,,,0.0,0,0,0,0,0,1
2016-08-22,10.0,10.0,,,,0.0,1,1,0,0,0,1
2016-08-23,12.22,12.22,,,,0.0,1,1,0,0,0,1
2016-08-24,11.67,11.67,,,,0.0,1,1,0,0,0,1
2016-08-25,8.89,8.89,,,,0.0,1,1,0,0,0,1
2016-08-26,12.22,12.22,,,,0.0,1,1,0,0,0,1
2016-08-27,5.56,5.56,,,,0.0,1,1,0,0,0,1
2016-08-28,14.44,14.44,,,,0.0,1,1,0,0,0,1
2016-08-29,8.89,8.89,,,,0.0,1,1,0,0,0,1
2016-08-30,13.33,13.33,,,,0.0,1,1,0,0,0,1
2016-08-31,15.0,15.0,,,,0.0,1,1,0,0,0,1
2016-09-01,16.67,16.67,,,,0.0,1,1,0,0,0,1
2016-09-02,17.22,17.22,,,,0.0,1,1,0,0,0,1
2016-09-03,13.33,13.33,,,,0.0,1,1,0,0,0,1
2016-09-04,,,,,,0.0,0,0,0,0,0,1
2016-09-05,8.33,8.33,,,,0.0,1,1,0,0,0,1
2016-09-06,4.44,4.44,,,,0.0,1,1,0,0,0,1
2016-09-07,11.11,11.11,,,,0.0,1,1,0,0,0,1
2016-09-08,,,,,,0.0,0,0,0,0,0,1
2016-09-09,9.44,9.44,,,,0.0,1,1,0,0,0,1
2016-09-10,4.44,4.44,,,,0.0,1,1,0,0,0,1
2016-09-11,9.44,9.44,,,,0.0,1,1,0,0,0,1
2016-09-12,,,,,,0.0,0,0,0,0,0,1
2016-09-13,,,,,,0.0,0,0,0,0,0,1
2016-09-14,,,,,,0.0,0,0,0,0,0,1
2016-09-15,,,,,,0.0,0,0,0,0,0,1
2016-09-16,,,,,,0.0,0,0,0,0,0,1
2016-09-17,,,,,,0.0,0,0,0,0,0,1
2016-09-18,,,,,,0.0,0,0,0,0,0,1
2016-09-19,8.89,8.89,,,,0.0,1,1,0,0,0,1
2016-09-20,5.0,5.0,,,,0.0,1,1,0,0,0,1
2016-09-21,10.56,10.56,,,,0.0,1,1,0,0,0,1
2016-09-22,10.56,10.56,,,,0.0,1,1,0,0,0,1
2016-09-23,8.89,8.89,,,,0.0,1,1,0,0,0,1
2016-09-24,,,,,,0.0,0,0,0,0,0,1
2016-09-25,,,,,,0.0,0,0,0,0,0,1
2016-09-26,,,,,,0.0,0,0,0,0,0,1
